profile_url,name,location,country,query,status,candidate_count,first_candidate,detail,updated_at
https://www.houzz.com/professionals/general-contractors/homeredi-pfvwus-pf~1326182352,HOMEREDI,,USA,"site:facebook.com ""HOMEREDI"" fb in USA",captcha,0,,google_verification_page,2026-04-24T15:55:52
https://www.houzz.com/professionals/general-contractors/anthony-james-master-builders-llc-pfvwus-pf~92295953,"Anthony James Master Builders, LLC",,USA,"site:facebook.com ""Anthony James Master Builders, LLC"" fb in USA",captcha,0,,google_verification_page,2026-04-24T15:56:00
https://www.houzz.com/professionals/general-contractors/gn-builders-l-l-c-pfvwus-pf~1476403835,GN Builders L.L.C,,USA,"site:facebook.com ""GN Builders L.L.C"" fb in USA",captcha,0,,google_verification_page,2026-04-24T15:57:26
https://www.houzz.com/professionals/general-contractors/lasting-image-construction-pfvwus-pf~939850591,Lasting Image Construction,,USA,"site:facebook.com ""Lasting Image Construction"" fb in USA",captcha,0,,google_verification_page,2026-04-24T15:57:43
